Variables,Season,Zone,mean_vals,var_vals
Phosphate,FALL,Ambient,0.10807692307692308,0.002256153846153846
Phosphate,FALL,Diffuse,0.13916666666666666,0.007402142857142856
Phosphate,FALL,Transition,0.17555555555555555,0.008779084967320262
Phosphate,SPRING,Ambient,0.1256,9.673333333333335e-4
Phosphate,SPRING,Diffuse,0.16419354838709677,0.006505161290322581
Phosphate,SPRING,Offshore,0.1625,0.0016249999999999997
Phosphate,SPRING,Transition,0.34444444444444444,0.06764967320261438
Salinity,FALL,Ambient,34.546462892307694,0.08523916560548832
Salinity,FALL,Diffuse,34.281887644722225,0.2963256279644039
Salinity,FALL,Transition,33.66826021666667,1.8245756432926254
Salinity,SPRING,Ambient,34.6110493256,0.0016752119833608745
Salinity,SPRING,Diffuse,33.96454696548387,1.150458547599095
Salinity,SPRING,Offshore,34.6097531775,1.265147674483323e-4
Salinity,SPRING,Transition,32.204072765,6.0177920640744835
Temperature,FALL,Ambient,27.175552840384615,0.3631936445660986
Temperature,FALL,Diffuse,27.05781250888889,0.5552282760874404
Temperature,FALL,Transition,26.962873427777776,1.1575017856474021
Temperature,SPRING,Ambient,25.0326624924,0.4103942294665505
Temperature,SPRING,Diffuse,25.091817836451614,0.8859308194119566
Temperature,SPRING,Offshore,24.517368475,0.009910486671765648
Temperature,SPRING,Transition,24.938293268333332,1.4641295768762654
